Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,1,1,392,93,5,93,18,74,0,0,0
2,1,1,396,206,5,206,41,153,0,0,0
3,1,1,395,205,5,205,41,146,0,0,0
4,1,1,413,15,3,15,5,15,0,4,0
5,1,1,406,15,3,15,5,15,0,-1,0
6,1,1,414,17,3,17,5,17,0,0,0
7,1,1,408,19,3,19,6,19,0,4,0
8,1,1,403,19,3,19,6,19,0,4,0
9,1,1,408,22,3,22,7,22,0,4,0
10,1,1,390,121,13,121,9,82,0,4,0
11,1,1,405,19,3,19,6,19,0,4,0
12,1,1,417,18,3,18,6,18,0,4,0
13,1,1,432,9,3,9,3,9,0,4,0
14,1,1,429,18,3,18,6,18,0,4,0
15,1,1,425,19,3,19,6,19,0,4,0
16,1,1,418,19,3,19,6,18,0,4,0
17,1,1,418,14,3,14,4,13,0,4,0
18,1,1,423,17,3,17,5,17,0,4,0
19,1,1,437,57,5,57,11,50,0,4,0
20,1,1,431,16,3,16,5,16,0,4,0
21,1,1,453,10,3,10,3,10,0,4,0
22,1,1,450,18,3,18,6,17,0,4,0
23,1,1,420,15,3,15,5,15,0,4,0
24,1,1,434,20,3,20,6,18,0,4,0
25,0,0,432,0,2,0,0,27,0,4,0
26,1,1,428,19,3,19,6,19,0,4,0
27,1,1,430,21,3,21,7,21,0,4,0
28,1,1,440,73,9,73,8,56,0,4,0
29,0,0,430,0,2,0,0,28,0,4,0
30,1,1,445,8,3,8,2,8,0,4,0
31,0,0,436,0,2,0,0,34,0,4,0
32,0,0,435,0,2,0,0,31,0,4,0
33,0,0,429,0,2,0,0,27,0,4,0
34,1,1,435,316,4,316,79,217,0,0,0
35,1,1,438,22,3,22,7,21,0,4,0
36,1,1,436,21,3,21,7,21,0,4,0
37,1,1,424,28,3,28,9,26,0,4,0
38,1,1,433,21,3,21,7,20,0,4,0
39,0,0,444,0,2,0,0,27,0,4,0
40,1,1,431,114,9,114,12,85,0,4,0
41,1,1,452,22,3,22,7,22,0,4,0
42,1,1,462,21,3,21,7,21,0,4,0
43,1,1,452,68,4,68,17,59,0,4,0
44,1,1,459,20,3,20,6,19,0,4,0
45,1,1,461,86,6,86,14,68,0,4,0
46,1,1,463,28,3,28,9,25,0,4,0
47,1,1,448,347,4,347,86,238,0,-1,0
48,1,1,453,26,3,26,8,26,0,4,0
49,1,1,431,24,3,24,8,24,0,4,0
50,1,1,435,18,3,18,6,17,0,4,0
51,1,1,439,23,3,23,7,22,0,4,0
52,1,1,446,18,3,18,6,17,0,4,0
53,1,1,440,154,7,154,22,117,0,4,0
54,1,1,457,21,3,21,7,20,0,4,0
55,1,1,457,18,3,18,6,17,0,4,0
56,1,1,455,18,3,18,6,17,0,4,0
57,1,1,439,318,4,318,79,217,0,-1,0
58,1,1,441,315,4,315,78,209,0,-1,0
59,1,1,444,22,4,22,5,20,0,4,0
60,1,1,446,19,3,19,6,18,0,4,0
61,1,1,456,26,3,26,8,25,0,4,0
62,1,1,453,34,3,34,11,30,0,4,0
63,2,2,464,15,4,15,3,14,0,4,0
64,1,1,457,24,3,24,8,23,0,4,0
65,1,1,454,116,7,116,16,92,0,4,0
66,1,1,472,7,3,7,2,7,0,4,0
67,1,1,457,27,3,27,9,26,0,4,0
68,1,1,456,30,4,30,7,26,0,4,0
69,1,1,467,21,3,21,7,21,0,0,0
70,1,1,447,23,3,23,7,21,0,4,0
71,0,0,450,0,2,0,0,3,0,0,0
72,1,1,444,29,3,29,9,26,0,4,0
73,1,1,442,19,3,19,6,18,0,4,0
74,1,1,428,13,3,13,4,13,0,4,0
75,1,1,432,18,3,18,6,18,0,4,0
76,1,1,435,97,7,97,13,76,0,4,0
77,1,1,443,19,3,19,6,19,0,4,0
78,1,1,445,24,3,24,8,23,0,4,0
79,1,1,466,25,3,25,8,23,0,4,0
80,1,1,459,116,6,116,19,89,0,4,0
81,1,1,454,20,3,20,6,20,0,4,0
82,1,1,447,25,3,25,8,25,0,4,0
83,2,1,427,22,3,22,7,22,0,4,0
84,1,1,450,23,3,23,7,23,0,4,0
85,1,1,454,19,3,19,6,18,0,4,0
86,1,1,419,371,4,371,92,247,0,-1,0
87,1,1,444,351,4,351,87,241,0,0,0
88,1,1,442,25,3,25,8,24,0,4,0
89,0,0,444,0,2,0,0,32,0,4,0
90,0,0,441,0,2,0,0,36,0,4,0
91,0,0,418,0,2,0,0,29,0,4,0
92,2,2,427,314,4,314,78,237,0,0,0
93,0,0,450,0,2,0,0,30,0,4,0
94,2,2,445,43,4,43,10,41,0,4,0
95,2,2,445,35,4,35,8,30,0,4,0
96,1,1,433,21,3,21,7,20,0,4,0
97,2,2,428,319,4,319,79,226,0,0,0
98,2,2,447,22,3,22,7,20,0,4,0
99,1,1,439,16,3,16,5,16,0,4,0
100,1,1,446,16,3,16,5,16,0,4,0
101,1,1,437,21,3,21,7,20,0,4,0
102,1,1,443,24,3,24,8,23,0,4,0
103,1,1,425,28,3,28,9,26,0,4,0
104,0,0,443,0,2,0,0,31,0,4,0
105,0,0,438,0,2,0,0,27,0,4,0
106,0,0,433,0,2,0,0,2,0,-1,0
107,0,0,441,0,2,0,0,32,0,4,0
108,0,0,427,0,2,0,0,24,0,4,0
109,0,0,432,0,2,0,0,30,0,4,0
110,0,0,419,0,2,0,0,23,0,4,0
111,0,0,433,0,2,0,0,34,0,4,0
112,0,0,425,0,2,0,0,29,0,4,0
113,0,0,422,0,2,0,0,3,0,-1,0
114,0,0,423,0,2,0,0,3,0,0,0
115,2,1,416,7,4,7,1,5,0,4,0
116,0,0,416,0,2,0,0,4,0,-1,0
117,0,0,410,0,2,0,0,30,0,4,0
